1.198070922851562500e+03,1.198066040039062500e+03,9.453924894332885742e-01
1.190071411132812500e+03,1.272637817382812500e+03,9.260469079017639160e-01
1.090724975585937500e+03,1.288714843750000000e+03,9.218847751617431641e-01
9.749097900390625000e+02,1.288724365234375000e+03,8.797316551208496094e-01
8.842879638671875000e+02,1.288699096679687500e+03,9.197444915771484375e-01
1.297028320312500000e+03,1.256026367187500000e+03,8.259664773941040039e-01
1.437769042968750000e+03,1.156847412109375000e+03,9.151352047920227051e-01
1.330113037109375000e+03,1.181591064453125000e+03,8.364335298538208008e-01
1.157112060546875000e+03,1.611271484375000000e+03,9.608933329582214355e-01
1.082720336914062500e+03,1.611376831054687500e+03,9.157813787460327148e-01
1.041107788085937500e+03,1.842287353515625000e+03,9.099912047386169434e-01
1.066137451171875000e+03,2.147944335937500000e+03,9.107623696327209473e-01
1.231396484375000000e+03,1.611165405273437500e+03,9.208045601844787598e-01
1.371510742187500000e+03,1.825841796875000000e+03,9.313540458679199219e-01
1.289372192382812500e+03,2.032416625976562500e+03,9.692137837409973145e-01
1.165305419921875000e+03,1.173332153320312500e+03,9.518254995346069336e-01
1.214710693359375000e+03,1.165179321289062500e+03,9.769480228424072266e-01
1.140446411132812500e+03,1.181636596679687500e+03,8.915545344352722168e-01
1.255795410156250000e+03,1.173253173828125000e+03,8.336114883422851562e-01
1.412694702148437500e+03,2.106594238281250000e+03,8.284404277801513672e-01
1.404606079101562500e+03,2.082030517578125000e+03,8.111894726753234863e-01
1.272164306640625000e+03,2.049012451171875000e+03,8.476457595825195312e-01
1.131911254882812500e+03,2.214344726562500000e+03,9.371920228004455566e-01
1.082164428710937500e+03,2.222351074218750000e+03,8.896488547325134277e-01
1.065744262695312500e+03,2.172617675781250000e+03,8.122420310974121094e-01
